date,cmc_price,cmc_rank
2021-11-20,193.70000000,72
2021-11-21,205.40000000,73
2021-11-22,197.40000000,73
2021-11-23,187.60000000,73
2021-11-24,203.20000000,73
2021-11-25,213.20000000,71
2021-11-26,183.10000000,74
2021-11-27,180.70000000,75
2021-11-28,178.60000000,74
2021-11-29,181.70000000,76
2021-11-30,179.40000000,76
2021-12-01,178.50000000,76
2021-12-02,176.30000000,76
2021-12-04,140.80000000,77
2021-12-05,133.70000000,78
2021-12-06,137.80000000,78
2021-12-07,137.80000000,77
2021-12-08,146.70000000,77
2021-12-09,137.90000000,79
2021-12-10,134.40000000,77
2021-12-11,140.30000000,77
2021-12-12,138.60000000,77
2021-12-13,127.00000000,77
2021-12-14,131.30000000,78
2021-12-15,133.70000000,77
2021-12-16,130.40000000,78
2021-12-17,128.80000000,78
2021-12-18,130.00000000,78
2021-12-19,129.70000000,78
2021-12-20,127.20000000,79
2021-12-21,134.00000000,79
2021-12-22,135.00000000,79
2021-12-23,145.90000000,79
2021-12-24,148.40000000,77
2021-12-25,150.60000000,77
2021-12-26,149.20000000,78
2021-12-27,150.80000000,77
2021-12-28,135.70000000,78
2021-12-29,133.10000000,78
2021-12-30,133.00000000,78
2021-12-31,134.40000000,78
2022-01-01,137.50000000,79
2022-01-02,142.10000000,79
2022-01-03,139.30000000,79
2022-01-04,134.80000000,80
2022-01-05,123.30000000,81
2022-01-06,124.60000000,81
2022-01-07,133.50000000,80
2022-01-08,142.40000000,77
2022-01-09,153.20000000,75
2022-01-10,148.20000000,71
2022-01-11,141.90000000,70
2022-01-12,143.30000000,78
2022-01-13,141.10000000,79
2022-01-14,141.10000000,79
2022-01-15,141.90000000,79
2022-01-16,137.40000000,79
2022-01-17,135.80000000,79
2022-01-18,130.50000000,79
2022-01-19,126.80000000,79
2022-01-20,121.00000000,79
2022-01-21,105.20000000,79
2022-01-22,97.20000000,77
2022-01-23,99.20000000,79
2022-01-24,90.30000000,78
2022-01-25,90.00000000,80
2022-01-26,92.60000000,80
2022-01-27,91.00000000,81
2022-01-28,95.70000000,81
2022-01-29,96.20000000,82
2022-01-30,92.80000000,81
2022-01-31,94.30000000,81
2022-02-01,97.40000000,82
2022-02-02,92.90000000,80
2022-02-03,94.30000000,81
2022-02-04,102.70000000,80
2022-02-05,103.90000000,80
2022-02-06,108.80000000,82
2022-02-07,116.20000000,82
2022-02-08,112.80000000,80
2022-02-09,115.20000000,81
2022-02-10,111.50000000,82
2022-02-11,103.80000000,79
2022-02-12,103.50000000,80
2022-02-13,102.80000000,80
2022-02-14,103.90000000,79
2022-02-15,109.70000000,79
2022-02-16,116.20000000,81
2022-02-17,104.50000000,78
2022-02-18,105.50000000,79
2022-02-19,102.20000000,79
2022-02-20,98.50000000,79
2022-02-21,87.30000000,80
2022-02-22,93.60000000,81
2022-02-23,88.60000000,79
2022-02-24,87.70000000,81
2022-02-25,92.30000000,82
2022-02-26,93.00000000,79
2022-02-27,88.10000000,79
2022-02-28,100.30000000,81
2022-03-01,99.80000000,79
2022-03-02,100.80000000,80
2022-03-03,96.80000000,81
2022-03-04,89.10000000,81
2022-03-05,89.60000000,82
2022-03-06,85.70000000,83
2022-03-07,85.90000000,83
2022-03-08,95.50000000,83
2022-03-09,99.80000000,78
2022-03-10,104.60000000,77
2022-03-11,96.00000000,73
2022-03-12,99.40000000,77
2022-03-13,93.80000000,73
2022-03-14,98.00000000,78
2022-03-15,95.30000000,76
2022-03-19,102.80000000,80
2022-03-20,115.10000000,77
2022-03-21,122.50000000,70
2022-03-22,131.10000000,69
2022-03-23,130.00000000,68
2022-03-24,130.30000000,71
2022-03-25,125.90000000,71
2022-03-26,128.00000000,73
2022-03-27,132.60000000,73
2022-03-28,128.70000000,73
2022-03-30,133.30000000,74
2022-03-31,126.80000000,74
2022-04-01,128.10000000,76
2022-04-02,126.80000000,76
2022-04-03,132.10000000,78
2022-04-04,133.20000000,76
2022-04-05,127.70000000,75
2022-04-06,114.40000000,78
2022-04-07,117.00000000,78
2022-04-08,110.60000000,78
2022-04-09,114.60000000,78
2022-04-10,111.50000000,78
2022-04-11,100.30000000,78
2022-04-12,102.20000000,79
2022-04-13,106.00000000,79
2022-04-14,106.70000000,79
2022-04-15,109.40000000,78
2022-04-16,108.50000000,78
2022-04-17,104.20000000,78
2022-04-18,108.80000000,78
2022-04-19,109.60000000,78
2022-04-20,107.00000000,78
2022-04-21,102.10000000,80
2022-04-22,103.90000000,80
2022-04-23,102.20000000,79
2022-04-24,100.10000000,80
2022-04-25,99.70000000,80
2022-04-26,93.30000000,80
2022-05-01,90.10000000,80
2022-05-02,89.20000000,78
2022-05-03,88.20000000,78
2022-05-04,95.90000000,79
2022-05-05,87.50000000,79
2022-05-06,87.80000000,80
2022-05-07,83.50000000,79
2022-05-08,82.90000000,79
2022-05-09,71.10000000,78
2022-05-10,72.80000000,77
2022-05-11,58.30000000,76
2022-05-12,54.50000000,78
2022-05-13,58.30000000,78
2022-05-14,61.10000000,76
2022-05-15,62.40000000,75
2022-05-16,57.50000000,77
2022-05-17,60.30000000,78
2022-05-18,55.70000000,76
2022-05-19,58.50000000,75
2022-05-20,57.40000000,75
2022-05-21,57.00000000,74
2022-05-22,61.60000000,76
2022-05-23,59.80000000,73
2022-05-24,62.20000000,73
2022-05-25,62.10000000,72
2022-05-26,58.60000000,71
2022-05-27,54.70000000,71
2022-05-28,56.70000000,73
2022-05-29,57.80000000,71
2022-05-30,63.00000000,71
2022-05-31,65.20000000,72
2022-06-01,59.70000000,71
2022-06-02,59.90000000,72
2022-06-03,58.10000000,72
2022-06-04,58.70000000,72
2022-06-05,58.70000000,72
2022-06-06,60.20000000,72
2022-06-07,58.70000000,72
2022-06-08,58.10000000,72
2022-06-09,57.80000000,72
2022-06-10,53.90000000,72
2022-06-11,49.10000000,73
2022-06-12,46.40000000,72
2022-06-13,41.90000000,72
2022-06-14,43.50000000,70
2022-06-15,45.80000000,70
2022-06-16,41.60000000,71
2022-06-17,43.70000000,70
2022-06-18,41.70000000,71
2022-06-19,44.20000000,70
2022-06-20,45.60000000,70
2022-06-21,47.10000000,71
2022-06-22,45.30000000,72
2022-06-23,48.70000000,72
2022-06-24,52.10000000,71
2022-06-25,52.20000000,71
2022-06-26,49.60000000,72
2022-06-27,49.30000000,73
2022-06-28,46.20000000,74
2022-06-29,44.40000000,74
2022-06-30,41.80000000,74
2022-07-01,42.10000000,74
2022-07-02,42.90000000,74
